variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
rsntds,Net Downward Shortwave Radiation at Sea Water Surface,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
rsdo,Downwelling Shortwave Flux in Sea Water at Grid Cell Upper Interface,W m-2,,,,y,,,,,,,,,,,,,,,,,y,,,,
hfds,Surface ocean heat flux from SW+LW+latent+sensible+masstransfer+frazil+seaice_melt_heat,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
net_heat_coupler,Surface ocean heat flux from SW+LW+latent+sensible+seaice_melt_heat (via the coupler),W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
heat_content_massin,Heat content (relative to 0degC) of net mass entering ocean ocean,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
heat_content_massout,Heat content (relative to 0degC) of net mass leaving ocean ocean via evap and ice form,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
heat_content_surfwater,Heat content (relative to 0degC) of net water crossing ocean surface (frozen+liquid),W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
heat_content_fprec,Heat content (relative to 0degC) of frozen prec entering ocean,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
heat_content_cond,Heat content (relative to 0degC) of water condensing into ocean,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
LwLatSens,"Combined longwave, latent, and sensible heating at ocean surface",W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
Heat_PmE,Heat flux into ocean from mass flux into ocean,W m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
nonpenSW,"Non-downwelling SW radiation (i.e., SW absorbed in ocean surface with LW,SENS,LAT)",W m-2,,,,y,,,,,,,,,,,,,,,,,,,,,
tauuo,Surface Downward X Stress,N m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
tauvo,Surface Downward Y Stress,N m-2,,,,y,,,,,,,,,,,,,,,y,,,,,,
ustar,Surface friction velocity = [(gustiness + tau_magnitude)/rho0]^(1/2),m s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
opottempmint,integral_wrt_depth_of_product_of_sea_water_density_and_potential_temperature,degC kg m-2,,,,y,,,,,,,,,,,,,,,,y,,,,,
somint,integral_wrt_depth_of_product_of_sea_water_density_and_salinity,psu kg m-2,,,,y,,,,,,,,,,,,,,,,y,,,,,
difmxybo,Ocean lateral biharmonic viscosity,m4 s-1,,,,y,y,,,,,,,,,,,,,,,,,,,,
e,Interface Height Relative to Mean Sea Level,m,,,,y,,,,,,,,,,,,,,,,,,,,,
speed,Sea Surface Speed,m s-1,,,,y,,,,,,,,,,,,,,,y,,,,,,
KE,Layer kinetic energy per unit mass,m2 s-2,,,,y,,,,,,,,,,,,,,,,,,,,,
mass_wt,The column mass for calculating mass-weighted average properties,kg m-2,,,,y,,,,,,,,,,,,,,,,y,,,,,
MLD_003,Mixed layer depth (delta rho = 0.03),m,,,,y,,,,,,,,,,,,,,,y,,,,,,
MLD_003_min,Mixed layer depth (delta rho = 0.03),m,,,,y,,,,,,,,,,,,,,,,,,,,,
MLD_003_max,Mixed layer depth (delta rho = 0.03),m,,,,y,,,,,,,,,,,,,,,,,,,,,
MLD_EN1,Mixed layer depth for energy value set to      25.00 J/m2 (Energy set by 1st MLD_EN_VALS),m,,,,y,,,,,,,,,,,,,,,y,,,,,,
MSTAR,Total mstar that is used.,nondim,,,,y,,,,,,,,,,,,,,,y,,,,,,
subML_N2,Squared buoyancy frequency below mixed layer,s-2,,,,y,,,,,,,,,,,,,,,,,,,,,
tos_max,Sea Surface Temperature,degC,,,,y,,,,,,,,,,,,,,,,,,,,,
tos_min,Sea Surface Temperature,degC,,,,y,,,,,,,,,,,,,,,,,,,,,
diabatic_diff_temp_tendency,Diabatic diffusion temperature tendency,degC s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
diabatic_diff_saln_tendency,Diabatic diffusion salinity tendency,psu s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
T_tendency,Net time tendency for potential temperature,degC s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
S_tendency,Net time tendency for salinity,psu s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
opottemptend_2d,Tendency of Sea Water Potential Temperature Expressed as Heat Content Vertical Sum,W m-2,,,,y,,,,,,,,,,,,,,,,,,,,,
osalttend_2d,Tendency of Sea Water Salinity Expressed as Salt Content Vertical Sum,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
T_advection_xy_2d,Vertical sum of horizontal convergence of residual mean advective fluxes of heat,W m-2,,,,y,,,,,,,,,,,,,,,,,,,,,
S_advection_xy_2d,Vertical sum of horizontal convergence of residual mean advective fluxes of salt,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
T_tendency_vert_remap,Vertical remapping tracer concentration tendency for temp,degC s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
S_tendency_vert_remap,Vertical remapping tracer concentration tendency for salt,psu s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
Th_tendency_vert_remap_2d,Vertical sum of vertical remapping tracer content tendency for Heat,W m-2,,,,y,,,,,,,,,,,,,,,,,,,,,
Sh_tendency_vert_remap_2d,Vertical sum of vertical remapping tracer content tendency for Salt,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
frazil_heat_tendency_2d,Depth integrated heat tendency due to frazil formation,W m-2,,,,y,,,,,,,,,,,,,,,,,,,,,
boundary_forcing_heat_tendency_2d,Depth integrated boundary forcing of ocean heat,W m-2,,,,y,,,,,,,,,,,,,,,,,,,,,
boundary_forcing_salt_tendency_2d,Depth integrated boundary forcing of ocean salt,kg m-2 s-1,,,,y,,,,,,,,,,,,,,,,,,,,,
thetao_xyave,Sea Water Potential Temperature,degC,,,,,y,,,,,,,,,,,,,,,,,,,,
so_xyave,Sea Water Salinity,psu,,,,,y,,,,,,,,,,,,,,,,,,,,
uo,Sea Water X Velocity,m s-1,,,,,y,,,,,,,,,,,,,,,,y,,,,
vo,Sea Water Y Velocity,m s-1,,,,,y,,,,,,,,,,,,,,,,y,,,,
umo,Ocean Mass X Transport,kg s-1,,,,,y,,,,,,,,,,,,,,,,y,,,,
vmo,Ocean Mass Y Transport,kg s-1,,,,,y,,,,,,,,,,,,,,,,y,,,,
uhml,Zonal Thickness Flux to Restratify Mixed Layer,kg s-1,,,,,y,,,,,,,,,,,,,,,,y,,,,
vhml,Meridional Thickness Flux to Restratify Mixed Layer,kg s-1,,,,,y,,,,,,,,,,,,,,,,y,,,,
uh,Zonal Thickness Flux,m3 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
vh,Meridional Thickness Flux,m3 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
T_adx,Advective (by residual mean) Zonal Flux of Heat,W,,,,,y,,,,,,,,,,,,,,,,,,,,
T_ady,Advective (by residual mean) Meridional Flux of Heat,W,,,,,y,,,,,,,,,,,,,,,,,,,,
S_adx,Advective (by residual mean) Zonal Flux of Salt,psu m3 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
S_ady,Advective (by residual mean) Meridional Flux of Salt,psu m3 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
rsdoabsorb,Convergence of Penetrative Shortwave Flux in Sea Water Layer,W m-2,,,,,y,,,,,,,,,,,,,,,,,,,,
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,W m-2,,,,,y,,,,,,,,,,,,,,,,,,,,
opottempdiff,Tendency of sea water potential temperature expressed as heat content due to parameterized dianeutral mixing,W m-2,,,,,y,,,,,,,,,,,,,,,,,,,,
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,kg m-2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
osaltpmdiff,Tendency of sea water salinity expressed as salt content due to parameterized mesoscale neutral diffusion,kg m-2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
osaltdiff,Tendency of sea water salinity expressed as salt content due to parameterized dianeutral mixing,kg m-2 s-1,,,,,y,,,,,,,,,,,,,,,,,,,,
