variable,long_name,units,ice_daily,ice_month,ice_static,ocean_annual,ocean_annual_z,ocean_cobalt_btm,ocean_cobalt_daily_2d,ocean_cobalt_fdet_100,ocean_cobalt_fluxes_int,ocean_cobalt_omip_2d,ocean_cobalt_omip_daily,ocean_cobalt_omip_rates_year_z,ocean_cobalt_omip_sfc,ocean_cobalt_sfc,ocean_cobalt_tracers_instant,ocean_cobalt_tracers_int,ocean_cobalt_tracers_month_z,ocean_daily,ocean_month,ocean_month_snap,ocean_month_z,ocean_static,sea_ice_geometry,,
jprod_ndi_100,Diazotroph nitrogen prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nsmp_new_100,Small phyto. new (NO3-based) prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nmdp_new_100,Medium phyto. new (NO3-based) prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nlgp_new_100,Large phyto. new (NO3-based) prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_ndi_new_100,Diazotroph new (NO3-based) prim. prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_ndi_n2_100,Diazotroph nitrogen fixation in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nsmz_100,Small zooplankton nitrogen prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nmdz_100,Medium zooplankton nitrogen prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nlgz_100,Large zooplankton nitrogen prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_nbact_100,Bacteria nitrogen prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_mesozoo_200,"Mesozooplankton Production, 200m integration",mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jzloss_nsmp_100,Small phyto. nitrogen loss to zooplankton integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jzloss_nmdp_100,Medium phyto. nitrogen loss to zooplankton integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jzloss_nlgp_100,Large phyto. nitrogen loss to zooplankton integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jzloss_ndi_100,Diazotroph nitrogen loss to zooplankton integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jaggloss_nsmp_100,Small phyto. nitrogen aggregation loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jaggloss_nmdp_100,Medium phyto. nitrogen aggregation loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jaggloss_nlgp_100,Large phyto. nitrogen aggregation loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jvirloss_nsmp_100,Small phyto. nitrogen virus loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jvirloss_nmdp_100,Medium phyto. nitrogen virus loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jvirloss_nlgp_100,Large phyto. nitrogen virus loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jmortloss_nsmp_100,Small phyto. nitrogen mortality loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jmortloss_nmdp_100,Medium phyto. nitrogen mortality loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jmortloss_nlgp_100,Large phyto. nitrogen mortality loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jmortloss_ndi_100,Diazotroph nitrogen mortality loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jexuloss_nsmp_100,Small phyto. nitrogen exudation loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jexuloss_nmdp_100,Medium phyto. nitrogen exudation loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jexuloss_nlgp_100,Large phyto. nitrogen exudation loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jexuloss_ndi_100,Diazotroph nitrogen exudation loss integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jingest_n_nsmz_100,Small zooplankton nitrogen ingestion integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jingest_n_nmdz_100,Medium zooplankton nitrogen ingestion integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jingest_n_nlgz_100,Large zooplankton nitrogen ingestion integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jingest_n_hp_100,Higher predator ingestion of nitrogen integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jzloss_nsmz_100,Small zooplankton nitrogen loss to zooplankton integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jzloss_nmdz_100,Medium zooplankton nitrogen loss to zooplankton integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jhploss_nmdz_100,Medium zooplankton nitrogen loss to higher preds. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jhploss_nlgz_100,Large zooplankton nitrogen loss to higher preds. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_ndet_nmdz_100,Medium zooplankton nitrogen detritus prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_ndet_nlgz_100,Large zooplankton nitrogen detritus prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_ndet_hp_100,Higher predator nitrogen detritus prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_don_nsmz_100,Small zooplankton dissolved org. nitrogen prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_don_nmdz_100,Medium zooplankton dissolved org. nitrogen prod. integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jremin_n_nsmz_100,Small zooplankton nitrogen remineralization integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jremin_n_nmdz_100,Medium zooplankton nitrogen remineralization integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jremin_n_nlgz_100,Large zooplankton nitrogen remineralization integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jremin_n_hp_100,Higher predator nitrogen remineralization integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
juptake_ldon_nbact_100,Bacterial uptake of labile dissolved org. nitrogen in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jvirloss_nbact_100,Bacteria nitrogen loss to viruses integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jzloss_nbact_100,Bacteria nitrogen loss to zooplankton integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jremin_n_nbact_100,Bacteria nitrogen remineralization integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_lithdet_100,Lithogenic detritus production integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_sidet_100,Silica detritus production integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_cadet_calc_100,Calcite detritus production integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jprod_cadet_arag_100,Aragonite detritus production integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
jremin_ndet_100,Remineralization of nitrogen detritus integral in upper 100m,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jdiss_sidet,Water column silica dissolution vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jdiss_cadet,Water column calcium carbonate dissolution vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jo2resp,Water column oxygen respired vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jprod_cadet,Water column calcium carbonate production vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jno3denit,Water column denitrification vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jprod_no3nitrif,Water column nitrification vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_juptake_nh4,Water column ammonia based NPP vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_juptake_no3,"Water column nitrate based NPP, vertical integral",mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_nfix,Nitrogen fixation vertical integral,mol N m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jprod_nh4,Water column ammonia production vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_jprod_n2amx,Water column N2 from anammox vertical integral,mol m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_net_phyto_resp,Water column net phyto respiration vertical integral,mol N m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_npp,Water column net primary production vertical integral,mol N m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
wc_vert_int_chemoautopp,Water column chemoautrophy vertical integral,mol N m-2 s-1,,,,,,,,,y,,,,,,,,,,,,,,,,
limndiat,Nitrogen Limitation of Diatoms,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limnpico,Nitrogen Limitation of Picophytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limnmisc,Nitrogen Limitation of Other Phytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limirrdiat,Irradiance Limitation of Diatoms,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limirrdiaz,Irradiance Limitation of Diazotrophs,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limirrpico,Irradiance Limitation of Picophytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limirrmisc,Irradiance Limitation of Other Phytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limfediat,Iron Limitation of Diatoms,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limfediaz,Iron Limitation of Diazotrophs,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limfepico,Iron Limitation of Picophytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limfemisc,Iron Limitation of Other Phytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limpdiat,Phosphorus Limitation of Diatoms,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limpdiaz,Phosphorus Limitation of Diazotrophs,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limppico,Phosphorus Limitation of Picophytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
limpmisc,Phosphorus Limitation of Other Phytoplankton,1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intppnitrate,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intppdiat,Net Primary Organic Carbon Production by Diatoms,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpppico,Net Primary Mole Productivity of Carbon by Picophytoplankton,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpbn,Nitrogen Production,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpbp,Phosphorus Production,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpbfe,Iron Production,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpbsi,Silicon Production,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpcalcite,Calcite Production,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intparag,Aragonite Production,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
epc100,Downward Flux of Particulate Organic Carbon,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
epn100,Downward Flux of Particulate Nitrogen,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
epp100,Downward Flux of Particulate Phosphorus,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
epfe100,Downward Flux of Particulate Iron,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
epsi100,Downward Flux of Particulate Silicon,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
epcalc100,Downward Flux of Calcite,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
eparag100,Downward Flux of Aragonite,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intdic,Dissolved Inorganic Carbon Content,kg m-2,,,,,,,,,,y,,,,,,,,,,,,,,,
intdoc,Dissolved Organic Carbon Content,kg m-2,,,,,,,,,,y,,,,,,,,,,,,,,,
intpoc,Particulate Organic Carbon Content,kg m-2,,,,,,,,,,y,,,,,,,,,,,,,,,
spco2,Surface Aqueous Partial Pressure of CO2,Pa,,,,,,,,,,y,,,,,,,,,,,,,,,
dpco2,Delta PCO2,Pa,,,,,,,,,,y,,,,,,,,,,,,,,,
dpo2,Delta PO2,Pa,,,,,,,,,,y,,,,,,,,,,,,,,,
fgco2,Surface Downward Flux of Total CO2,kg m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
fgo2,Surface Downward Flux of O2,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
icfriver,Flux of Inorganic Carbon Into Ocean Surface by Runoff,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
fric,Downward Inorganic Carbon Flux at Ocean Bottom,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
ocfriver,Flux of Organic Carbon Into Ocean Surface by Runoff,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
froc,Downward Organic Carbon Flux at Ocean Bottom,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
intpn2,Nitrogen Fixation Rate in Ocean,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
fsn,Surface Downward Net Flux of Nitrogen,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
frn,Nitrogen Loss to Sediments and through Denitrification,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
fsfe,Surface Downward Net Flux of Iron,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
frfe,Iron Loss to Sediments,mol m-2 s-1,,,,,,,,,,y,,,,,,,,,,,,,,,
chlos,Surface Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,kg m-3,,,,,,,,,,,y,,y,,,,,,,,,,,,
phycos,Surface Phytoplankton Carbon Concentration,mol m-3,,,,,,,,,,,y,,y,,,,,,,,,,,,
pp,Primary Carbon Production by Total Phytoplankton,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
pnitrate,Primary Carbon Production by Phytoplankton due to Nitrate Uptake Alone,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
pbfe,Biogenic Iron Production,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
pbsi,Biogenic Silicon Production,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
pcalc,Calcite Production,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
parag,Aragonite Production,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
expc,Sinking Particulate Organic Carbon Flux,mol m-2 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
expn,Sinking Particulate Organic Nitrogen Flux,mol m-2 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
expp,Sinking Particulate Organic Phosphorus Flux,mol m-2 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
expfe,Sinking Particulate Iron Flux,mol m-2 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
expsi,Sinking Particulate Silicon Flux,mol m-2 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
expcalc,Sinking Calcite Flux,mol m-2 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
exparag,Sinking Aragonite Flux,mol m-2 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
remoc,Remineralization of Organic Carbon,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
dcalc,Calcite Dissolution,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
darag,Aragonite Dissolution,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
ppdiat,Net Primary Organic Carbon Production by Diatoms,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
pppico,Net Primary Mole Productivity of Carbon by Picophytoplankton,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
bddtdic,Rate of Change of Dissolved Inorganic Carbon due to Biological Activity,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
bddtdin,Rate of Change of Nitrogen Nutrient due to Biological Activity,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
bddtdip,Rate of Change of Dissolved Phosphorus due to Biological Activity,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
bddtdife,Rate of Change of Dissolved Inorganic Iron due to Biological Activity,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
bddtdisi,Rate of Change of Dissolved Inorganic Silicon due to Biological Activity,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
bddtalk,Rate of Change of Alkalinity due to Biological Activity,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
fescav,Nonbiogenic Iron Scavenging,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
fediss,Particle Source of Dissolved Iron,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
graz,Total Grazing of Phytoplankton by Zooplankton,mol m-3 s-1,,,,,,,,,,,,y,,,,,,,,,,,,,
dissicos,Surface Dissolved Inorganic Carbon Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
dissocos,Surface Dissolved Organic Carbon Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
zoocos,Surface Zooplankton Carbon Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
baccos,Surface Bacterial Carbon Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
detocos,Surface Detrital Organic Carbon Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
calcos,Surface Calcite Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
aragos,Surface Aragonite Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
phydiatos,Surface Mole Concentration of Diatoms expressed as Carbon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
phydiazos,Surface Mole Concentration of Diazotrophs expressed as Carbon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
phypicoos,Surface Mole Concentration of Picophytoplankton expressed as Carbon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
phymiscos,Surface Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
zmicroos,Surface Mole Concentration of Microzooplankton expressed as Carbon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
zmesoos,Surface Mole Concentration of Mesozooplankton expressed as Carbon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
talkos,Surface Total Alkalinity,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
o2os,Surface Dissolved Oxygen Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
o2satos,Surface Dissolved Oxygen Concentration at Saturation,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
nh4os,Surface Dissolved Ammonium Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
po4os,Surface Total Dissolved Inorganic Phosphorus Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
dfeos,Surface Dissolved Iron Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
sios,Surface Total Dissolved Inorganic Silicon Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
chldiatos,Surface Mass Concentration of Diatoms expressed as Chlorophyll in sea water,kg m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
chldiazos,Surface Mass Concentration of Diazotrophs expressed as Chlorophyll in sea water,kg m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
chlpicoos,Surface Mass Concentration of Picophytoplankton expressed as Chlorophyll in sea water,kg m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
chlmiscos,Surface Mass Concentration of Other Phytoplankton expressed as Chlorophyll in sea water,kg m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
ponos,Surface Mole Concentration of Particulate Organic Matter expressed as Nitrogen in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
popos,Surface Mole Concentration of Particulate Organic Matter expressed as Phosphorus in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
bfeos,Surface Mole Concentration of Particulate Organic Matter expressed as Iron in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
bsios,Surface Mole Concentration of Particulate Organic Matter expressed as Silicon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
phynos,Surface Mole Concentration of Phytoplankton Nitrogen in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
phypos,Surface Mole Concentration of Total Phytoplankton expressed as Phosphorus in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
phyfeos,Surface Mole Concentration of Total Phytoplankton expressed as Iron in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
physios,Surface Mole Concentration of Total Phytoplankton expressed as Silicon in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
co3os,Surface Carbonate Ion Concentration,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
co3satcalcos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in sea water,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
co3sataragos,tracers_month_z,mol m-3,,,,,,,,,,,,,y,,,,,,,,,,,,
dic_csurf,Ocean surface gas concentration of dic,mol/kg,,,,,,,,,,,,,,y,,,,,,,,,,,
dic_deltap,Ocn minus Atm pressure of dic,uatm,,,,,,,,,,,,,,y,,,,,,,,,,,
dic_kw,Gas Exchange piston velocity for dic,m/sec,,,,,,,,,,,,,,y,,,,,,,,,,,
dic_sc_no,Ocean surface Schmidt Number for dic,mol/kg,,,,,,,,,,,,,,y,,,,,,,,,,,
o2_alpha,Atmospheric saturation for o2,mol/kg,,,,,,,,,,,,,,y,,,,,,,,,,,
o2_csurf,Ocean surface gas concentration of o2,mol/kg,,,,,,,,,,,,,,y,,,,,,,,,,,
o2_deltap,Ocn minus Atm pressure of o2,uatm,,,,,,,,,,,,,,y,,,,,,,,,,,
o2_kw,Gas Exchange piston velocity for o2,m/sec,,,,,,,,,,,,,,y,,,,,,,,,,,
o2_sc_no,Ocean surface Schmidt Number for o2,mol/kg,,,,,,,,,,,,,,y,,,,,,,,,,,
dic_stf_gas,Gas exchange flux of dic into Ocean Surface,mole/m^2/sec,,,,,,,,,,,,,,y,,,,,,,,,,,
o2_stf_gas,Gas exchange flux of o2 into Ocean Surface,mole/m^2/sec,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_dry_fed,Dry Deposition of Iron to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_dry_nh4,Dry Deposition of Ammonia to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_dry_no3,Dry Deposition of Nitrate to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_dry_po4,Dry Deposition of Phosphate to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_dry_lith,Dry Deposition of Lithogenic Material,g m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_wet_fed,Wet Deposition of Iron to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_wet_nh4,Wet Deposition of Ammonia to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_wet_no3,Wet Deposition of Nitrate to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
dep_wet_lith,Wet Deposition of Lithogenic Material,g m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_alk,Alkalinity runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_dic,Dissolved Inorganic Carbon runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_fed,Iron runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_lith,Lithogenic runoff flux to the ocean,g m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_no3,Nitrate runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_ldon,LDON runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_sldon,SLDON runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_srdon,SRDON runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
runoff_flux_ndet,NDET runoff flux to the ocean,mol m-2 s-1,,,,,,,,,,,,,,y,,,,,,,,,,,
